codigo,descricao,preconormal,precooferta,inicio,fim
1216,"LARANJA PERA KG",3.99,2.99,04/08,04/08
1373,"JERKED BEEF BOV DIANTEIRO KG",49.99,49.99,04/08,06/08
1374,"JERKED BEEF BOV PONTA AGULHA KG",42.99,38.99,04/08,06/08
1418,"CARA SAO TOME KG",4.99,4.99,04/08,04/08
1443,"BATATA INGLESA KG",5.99,4.99,04/08,04/08
1444,"MELAO ESPANHOL KG",3.99,2.99,04/08,04/08
10221,"SAB PROTEX COMPLETE 12 85G",3.89,2.99,03/08,10/08
10383,"REQUEIJAO LACTOLIVRE S LACTOSE LIGHT 200G",9.69,6.89,30/07,06/08
10384,"LEITE UHT BETANIA ZERO LACTOSE 1L",6.79,5.99,04/08,10/08
10884,"DESOD AERO DOVE POWER SOFT 89G",21.29,19.98,04/08,03/09
11598,"SH SEDA CACHOS COMPORTADOS 325ML",16.49,13.99,04/08,03/09
11599,"SH SEDA CRESCIMENTO 325ML",16.49,13.99,04/08,03/09
11602,"SH SEDA ANTICASPA HID DIARIA 325ML",16.49,13.99,04/08,03/09
11603,"SH SEDA KERAFORCE ORIGINAL 325ML",16.49,13.99,04/08,03/09
11607,"SH SEDA PRETOS LUMINOSOS 325ML",16.49,13.99,04/08,03/09
11608,"SH SEDA PUREZA REFRESCANTE 325ML",16.49,13.99,04/08,03/09
11609,"COND SEDA CACHOS DEFINIDOS 325ML",17.59,14.99,04/08,03/09
11610,"COND SEDA CRESCIMENTO 325ML",17.59,14.99,04/08,03/09
11611,"COND SEDA ANTIQUEBRA 325ML",17.59,14.99,04/08,03/09
11612,"COND SEDA HID ANTI NOS 325ML",17.59,14.99,04/08,03/09
11613,"COND SEDA KERAFORCE ORIG 325ML",17.59,14.99,04/08,03/09
11615,"COND SEDA LISO EXTREMO 325ML",17.59,14.99,04/08,03/09
11616,"COND SEDA LISO PERFEITO 325ML",17.59,14.99,04/08,03/09
11617,"COND SEDA OLEO HIDRATACAO 325ML",17.59,14.99,04/08,03/09
11618,"COND SEDA PRETOS LUMINOSOS 325ML",17.59,14.99,04/08,03/09
11619,"COND SEDA SOS CERAMIDAS 325ML",17.59,14.99,04/08,03/09
11620,"COND SEDA SOS RESTAURACAO 325ML",17.59,14.99,04/08,03/09
11986,"SH SEDA FORCA E ANTIQUEBRA 325ML",16.49,13.99,04/08,03/09
11987,"SH SEDA HID ANTI-NOS 325ML",16.49,13.99,04/08,03/09
12097,"SH SEDA RESTAURACAO 325ML",16.49,13.99,04/08,03/09
12098,"SH SEDA LISO PERFEITO 325ML",16.49,13.99,04/08,03/09
12099,"SH SEDA OLEO HIDRATACAO 325ML",16.49,13.99,04/08,03/09
12149,"SH SEDA CERAMIDAS 325ML",16.49,13.99,04/08,03/09
12150,"SH SEDA LISO EXTREMO 325ML",16.49,13.99,04/08,03/09
13331,"LEITE FERM CHAMYTO UVA TP 480G",9.99,6.29,03/08,18/08
13332,"LEITE FERM CHAMYTO MORANGO TP 480G",9.99,6.29,03/08,18/08
13894,"COND PALMOLIVE NATURALS OLEO SURPREENDENTE CAMELIA 350ML",12.89,11.99,03/08,10/08
13917,"SAB LIQ PALMOLIVE NATURALS OLEO NUTRITIVO RF 200ML",10.99,5.99,03/08,10/08
13921,"SAB PROTEX PRO-HIDRATA 90G",3.89,2.99,03/08,10/08
13923,"SH PALMOLIVE NATURALS OLEO SURPREENDENTE CAMELIA 350ML",12.39,10.99,03/08,10/08
14205,"AP BARB GILLETTE PRESTO 3 SENSOCARE C2",26.49,16.99,03/08,10/08
14941,"CERVEJA AMSTEL LT 473ML",4.99,4.79,04/08,10/08
14990,"WAFER LACTA  BIS OREO CHOCOLATE BRANCO 100,8G",9.19,5.99,24/07,10/08
15094,"DESOD AERO OLD SPICE VIP 93G",23.29,16.99,03/08,10/08
15095,"DESOD AERO OLD SPICE LENHA 93G",23.29,16.99,03/08,10/08
16315,"DESOD AERO REXONA WOMEN POWDER DRY 90G",18.79,16.99,04/08,03/09
16316,"DESOD AERO REXONA WOMEN INVISIBLE 90G",18.79,16.99,04/08,03/09
16317,"DESOD AERO REXONA WOMEN BAMBOO 90G",18.79,16.99,04/08,03/09
16391,"COND SEDA BOMBA DE NUTRICAO 325ML",17.59,14.99,04/08,03/09
16392,"SH SEDA BOMBA DE NUTRICAO 325ML",16.49,13.99,04/08,03/09
16645,"DESOD AERO REXONA WOMEM ACTIVE EMOTION 90GR",18.79,16.99,04/08,03/09
16673,"DESOD AERO REXONA WOMAN S PERFUME 90GR",18.79,16.99,04/08,03/09
