codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia,pai,camp,obs
10221,SAB PROTEX COMPLETE 12 85G,3.89,2.79,01/09,15/09,HIGIENE CORPORAL,1332,0,,
10884,DESOD AERO DOVE POWER SOFT 89G,21.29,16.49,01/09,14/09,HIGIENE CORPORAL,1484,0,,
11251,TINT IMEDIA 7.340 LOURO FLASH,44.99,37.99,20/07,18/09,CUIDADOS COM O CABELO,1502,0,,
11253,TINT IMEDIA 6.032 CHOC PASSARELA,44.99,37.99,20/07,18/09,CUIDADOS COM O CABELO,1502,0,,
11254,TINT IMEDIA 1.101 PRETO ALTA COSTURA,44.99,37.99,20/07,18/09,CUIDADOS COM O CABELO,1502,0,,
11296,SAB LIQ PROTEX BALANCE RF 200ML,13.69,9.49,01/09,15/09,HIGIENE CORPORAL,2466,0,,
11297,SAB LIQ PROTEX VITAMINA E RF 200ML,13.69,9.49,01/09,15/09,HIGIENE CORPORAL,2466,0,,
11298,SAB LIQ PROTEX ERVA DOCE RF 200ML,13.69,9.49,01/09,15/09,HIGIENE CORPORAL,2466,0,,
11883,ESM HITS DV FRAPE 8ML,8.99,7.99,10/09,10/10,HIGIENE CORPORAL,2492,1,,
11884,ESM HITS DV MERGULHO 8ML,8.99,7.99,10/09,10/10,HIGIENE CORPORAL,2492,0,,
11885,ESM HITS DV PISCINA 8ML,8.99,7.99,10/09,10/10,HIGIENE CORPORAL,2492,0,,
11886,ESM HITS DV SORVETE 8ML,8.99,7.99,10/09,10/10,HIGIENE CORPORAL,2492,0,,
11887,ESM HITS DV VIAGEM 8ML,8.99,7.99,10/09,10/10,HIGIENE CORPORAL,2492,0,,
11950,ESM HITS DV FERIAS 6ML,8.99,7.99,10/09,10/10,HIGIENE CORPORAL,2492,0,,
11951,ESM HITS DV CAIPIRINHA 6ML,8.99,7.99,10/09,10/10,HIGIENE CORPORAL,2492,0,,
11952,ESM HITS DV CALOR 6ML,8.99,7.99,10/09,10/10,HIGIENE CORPORAL,2492,0,,
11953,ESM HITS DV AGUA DE COCO 6ML,8.99,7.99,10/09,10/10,HIGIENE CORPORAL,2492,0,,
12106,COND TRESEMME DETOX 400ML,33.49,19.99,25/08,30/09,CUIDADOS COM O CABELO,1878,0,,
12108,CR TRAT TRESEMME DETOX 400ML,34.29,19.99,25/08,30/09,CUIDADOS COM O CABELO,1687,0,,
12143,SH TRESEMME DETOX 400ML,33.39,19.99,25/08,30/09,CUIDADOS COM O CABELO,1593,0,,
12807,TINT CR COLORE 7.44 L M ACOBREADO 125G,11.99,9.99,24/08,23/09,CUIDADOS COM O CABELO,1838,0,,
13071,ABS ALWAYS NOTURNO SECA L8P7,15.49,9.99,01/09,15/10,HIGIENE CORPORAL,4142,1,,
13337,ABS ALWAYS NOTURNO SUAVE C/16,27.39,19.98,01/09,15/10,HIGIENE CORPORAL,4141,1,,
13338,ABS ALWAYS NOTURNO SUAVE L8P7,15.49,9.99,01/09,15/10,HIGIENE CORPORAL,4142,0,,
13387,COND DOVE RECUPERACAO EXTREMA 200ML,26.99,9.99,12/08,30/09,CUIDADOS COM O CABELO,1480,0,,
13402,SH DOVE RECUPERACAO EXTREMA 200ML,22.69,9.99,12/08,30/09,CUIDADOS COM O CABELO,1475,1,,
13489,SAB PALMOLIVE NATURALS NUTRICAO E SUAVIDADE 85G,3.29,1.85,01/09,15/09,HIGIENE CORPORAL,1853,0,,
13520,TINT IMEDIA 12.111 FETICHE,44.99,37.99,20/07,18/09,CUIDADOS COM O CABELO,1502,0,,
13529,TINT CASTING 670 CHOC C PIMENTA,43.49,38.99,20/07,18/09,CUIDADOS COM O CABELO,1507,0,,
13530,TINT CASTING 710 COCADINHO,43.49,38.99,20/07,18/09,CUIDADOS COM O CABELO,1507,0,,
13675,SAB EVEN SUAVE BUQUE ROSAS 85G,2.69,1.99,24/08,23/09,HIGIENE CORPORAL,1285,0,,
13677,SAB EVEN SUAVE MANTEIGA KARITE 85G,2.69,1.99,24/08,23/09,HIGIENE CORPORAL,1285,0,,
