codigo,descricao,preconormal,precooferta,inicio,fim,secao,familia
1216,"LARANJA PERA KG",3.99,2.99,04/08,04/08,"HORTI FRUTI ",0
1373,"JERKED BEEF BOV DIANTEIRO KG",49.99,49.99,04/08,06/08,"SALGADOS / DEFUMADOS",0
1374,"JERKED BEEF BOV PONTA AGULHA KG",42.99,38.99,04/08,06/08,"SALGADOS / DEFUMADOS",0
1418,"CARA SAO TOME KG",4.99,4.99,04/08,04/08,"HORTI FRUTI ",0
1443,"BATATA INGLESA KG",5.99,4.99,04/08,04/08,"HORTI FRUTI ",0
1444,"MELAO ESPANHOL KG",3.99,2.99,04/08,04/08,"HORTI FRUTI ",0
10221,"SAB PROTEX COMPLETE 12 85G",3.89,2.99,03/08,10/08,"HIGIENE CORPORAL",1332
10384,"LEITE UHT BETANIA ZERO LACTOSE 1L",6.79,5.99,04/08,10/08,"ACHOCOLATADOS / LEITES",0
10884,"DESOD AERO DOVE POWER SOFT 89G",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
11598,"SH SEDA CACHOS COMPORTADOS 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
11599,"SH SEDA CRESCIMENTO 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
11602,"SH SEDA ANTICASPA HID DIARIA 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
11603,"SH SEDA KERAFORCE ORIGINAL 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
11607,"SH SEDA PRETOS LUMINOSOS 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
11608,"SH SEDA PUREZA REFRESCANTE 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
11609,"COND SEDA CACHOS DEFINIDOS 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11610,"COND SEDA CRESCIMENTO 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11611,"COND SEDA ANTIQUEBRA 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11612,"COND SEDA HID ANTI NOS 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11613,"COND SEDA KERAFORCE ORIG 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11615,"COND SEDA LISO EXTREMO 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11616,"COND SEDA LISO PERFEITO 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11617,"COND SEDA OLEO HIDRATACAO 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11618,"COND SEDA PRETOS LUMINOSOS 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11619,"COND SEDA SOS CERAMIDAS 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11620,"COND SEDA SOS RESTAURACAO 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
11986,"SH SEDA FORCA E ANTIQUEBRA 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
11987,"SH SEDA HID ANTI-NOS 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
12097,"SH SEDA RESTAURACAO 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
12098,"SH SEDA LISO PERFEITO 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
12099,"SH SEDA OLEO HIDRATACAO 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
12149,"SH SEDA CERAMIDAS 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
12150,"SH SEDA LISO EXTREMO 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
13331,"LEITE FERM CHAMYTO UVA TP 480G",9.99,6.29,03/08,18/08,FRIOS,2564
13332,"LEITE FERM CHAMYTO MORANGO TP 480G",9.99,6.29,03/08,18/08,FRIOS,2564
13894,"COND PALMOLIVE NATURALS OLEO SURPREENDENTE CAMELIA 350ML",12.89,11.99,03/08,10/08,"CUIDADOS COM O CABELO",1401
13917,"SAB LIQ PALMOLIVE NATURALS OLEO NUTRITIVO RF 200ML",10.99,5.99,03/08,10/08,"HIGIENE CORPORAL",2596
13923,"SH PALMOLIVE NATURALS OLEO SURPREENDENTE CAMELIA 350ML",12.39,10.99,03/08,10/08,"CUIDADOS COM O CABELO",1260
14205,"AP BARB GILLETTE PRESTO 3 SENSOCARE C2",26.49,16.99,03/08,10/08,"HIGIENE CORPORAL",0
14941,"CERVEJA AMSTEL LT 473ML",4.99,4.79,04/08,10/08,BEBIDAS,0
14990,"WAFER LACTA  BIS OREO CHOCOLATE BRANCO 100,8G",9.19,5.99,24/07,10/08,"BISCOITOS / BOLACHAS",4852
15094,"DESOD AERO OLD SPICE VIP 93G",23.29,16.99,03/08,10/08,"HIGIENE CORPORAL",2770
15095,"DESOD AERO OLD SPICE LENHA 93G",23.29,16.99,03/08,10/08,"HIGIENE CORPORAL",2770
16315,"DESOD AERO REXONA WOMEN POWDER DRY 90G",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
16316,"DESOD AERO REXONA WOMEN INVISIBLE 90G",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
16317,"DESOD AERO REXONA WOMEN BAMBOO 90G",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
16391,"COND SEDA BOMBA DE NUTRICAO 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
16392,"SH SEDA BOMBA DE NUTRICAO 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
16645,"DESOD AERO REXONA WOMEM ACTIVE EMOTION 90GR",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
16673,"DESOD AERO REXONA WOMAN S PERFUME 90GR",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
16706,"BATATA PRE-FRITA MAURICEA 2KG",25.49,22.99,04/08,10/08,FRIOS,0
16760,"DESOD AERO REXONA WOMEN COTTON 90G",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
16925,"DESOD AERO OLD SPICE MATADOR 93G",23.29,16.99,03/08,10/08,"HIGIENE CORPORAL",2770
16928,"DESOD AERO OLD SPICE PEGADOR 93G",23.29,16.99,03/08,10/08,"HIGIENE CORPORAL",2770
17007,"SH HEAD SHOULDERS OLEOSIDADE 200ML",23.29,18.99,03/08,10/08,"CUIDADOS COM O CABELO",1317
17167,"CAPSULA TRES ESPRESSO AMENO 10X8G",24.69,19.99,04/08,10/08,"CAFE / CHA",2205
17168,"CAPSULA TRES CHOC CARAMELO 10X10,5G",24.69,19.99,04/08,10/08,"CAFE / CHA",2205
17492,"DESOD AERO REXONA WOMEN ANT INV 90G",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
18462,"LAVA ROUPAS URCA VERDE LIQ 3L",17.29,12.99,07/07,06/08,LIMPEZA,2874
18473,"LAVA ROUPAS URCA AZUL 3L",17.29,12.99,07/07,06/08,LIMPEZA,2874
18647,"SAB PROTEX MEN TRIPLA ACAO 85G",3.89,2.99,03/08,10/08,"HIGIENE CORPORAL",1332
18757,"DESOD AERO OLD SPICE CABRA MACHO 93G",23.29,16.99,03/08,10/08,"HIGIENE CORPORAL",2770
19384,"CR PENT SEDA BOOM VOLUMACAO 295ML",13.99,12.49,04/08,03/09,"CUIDADOS COM O CABELO",1369
19390,"CR PENT SEDA BOOM DEFINICAO 295ML",13.99,12.49,04/08,03/09,"CUIDADOS COM O CABELO",1369
19393,"COND SEDA BOMBA ARGAN 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
19399,"SH SEDA BOMBA ARGAN 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
20560,"DESOD AERO REXONA MEN SEM PERFUME 90G",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
20562,"DESOD AERO REXONA WOMEN POM E VERB 90G",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
20563,"DESOD AERO REXONA FLORES BRANCAS E LICHIA 90G",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
20818,"DESOD AERO DOVE GO FRESH ROMA E VERBENA 89G",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
20819,"DESOD AERO DOVE MINERAL E SALVIA 89G",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
21314,"DESOD AERO REXONA MEN TORC FANT 90ML",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
21856,"DESOD AERO REXONA MEN IMPACTO 90G",18.79,16.99,04/08,03/09,"HIGIENE CORPORAL",1489
22369,"DESINF DRAGAO LAVANDA 1L",4.69,3.49,03/08,10/08,LIMPEZA,4827
24551,"SH SEDA ONDAS FRIZZ 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
24552,"SH SEDA POS DANOS 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
24717,"COND SEDA ONDAS FRIZZ 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
25344,"COND SEDA MAMONA E CAFE 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
25345,"COND SEDA MANDACARU E CAJA 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
25346,"SH SEDA MAMONA E CAFE 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
25348,"DESOD AERO DOVE ANTIBACTERIANO 89G",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
25816,"SH SEDA BABOSA E OLEO DE COCO 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
25817,"COND SEDA BABOSA E OLEO DE COCO 325ML",17.59,14.99,04/08,03/09,"CUIDADOS COM O CABELO",2477
25818,"SH SEDA MANDACARU E CAJA 325ML",16.49,13.99,04/08,03/09,"CUIDADOS COM O CABELO",2475
25830,"ABS ALWAYS BASICO SUAVE C ABAS 32UN",22.39,12.99,03/08,10/08,"HIGIENE CORPORAL",3660
25835,"DESOD AERO OLD SPICE MAR PROFUNDO 93G",23.29,16.99,03/08,10/08,"HIGIENE CORPORAL",2770
25848,"CR PENT SEDA ANTIFRIZZ 300ML",13.99,12.49,04/08,03/09,"CUIDADOS COM O CABELO",1369
25881,"BISC WAFER PILAR CHOCOLATE 100G",1.59,1.47,04/08,10/08,"BISCOITOS / BOLACHAS",3504
25882,"BISC WAFER PILAR LIMAO 100G",1.59,1.47,04/08,10/08,"BISCOITOS / BOLACHAS",3504
25886,"BISC WAFER PILAR MORANGO 100G",1.59,1.47,04/08,10/08,"BISCOITOS / BOLACHAS",3504
25897,"BISC WAFER PILAR BRIGADEIRO 100G",1.59,1.47,04/08,10/08,"BISCOITOS / BOLACHAS",3504
25914,"BISC WAFER PILAR LARANJA 100G",1.59,1.47,04/08,10/08,"BISCOITOS / BOLACHAS",3504
26026,"COND PALMOLIVE SEMPRE LONGO 350ML",12.89,11.99,03/08,10/08,"CUIDADOS COM O CABELO",1401
26027,"SH PALMOLIVE NATURALS SEMPRE LONGO 350ML",12.39,10.99,03/08,10/08,"CUIDADOS COM O CABELO",1260
26030,"SAB PROTEX DUO PROTECT 85G",3.89,2.99,03/08,10/08,"HIGIENE CORPORAL",1332
26138,"DESOD AERO DOVE SENSITIVE SEM PERFUME 89G",21.29,19.98,04/08,03/09,"HIGIENE CORPORAL",1484
26344,"CR DENT SORRISO TRIPLA LIMPEZA COMPLETA 120G",4.99,3.99,01/08,01/09,"CUIDADOS BUCAL",0
26451,"BISC WAFER PILAR ABACAXI 100G",1.59,1.47,04/08,10/08,"BISCOITOS / BOLACHAS",3504
28101,"CHOCOLATTO 3 CORACOES REF 5S 560G",15.69,12.99,04/08,10/08,"ACHOCOLATADOS / LEITES",0
28359,"IOG DANONE LIQ VITAMINAS DE FRUTAS 1,250G",20.79,16.99,04/08,10/08,FRIOS,0
