codigo,id_loja,precovenda,secao
13332,1,6.2900,FRIOS
13332,2,6.2900,FRIOS
13332,3,6.2900,FRIOS
13332,5,6.2900,FRIOS
13332,8,6.2900,FRIOS
13332,9,6.2900,FRIOS
15529,1,2.9900,"BISCOITOS / BOLACHAS"
15529,2,2.9900,"BISCOITOS / BOLACHAS"
15529,3,2.9900,"BISCOITOS / BOLACHAS"
15529,5,2.9900,"BISCOITOS / BOLACHAS"
15529,8,2.9900,"BISCOITOS / BOLACHAS"
15529,9,2.9900,"BISCOITOS / BOLACHAS"
19680,1,6.3900,LIMPEZA
19680,2,6.3900,LIMPEZA
19680,3,6.3900,LIMPEZA
19680,5,6.3900,LIMPEZA
19680,8,6.3900,LIMPEZA
19680,9,6.3900,LIMPEZA
22084,1,1.5900,"ACHOCOLATADOS / LEITES"
22084,2,1.5900,"ACHOCOLATADOS / LEITES"
22084,3,1.5900,"ACHOCOLATADOS / LEITES"
22084,5,1.5900,"ACHOCOLATADOS / LEITES"
22084,8,1.5900,"ACHOCOLATADOS / LEITES"
22084,9,1.5900,"ACHOCOLATADOS / LEITES"
22744,1,3.9900,BOMBONIERE
22744,2,3.9900,BOMBONIERE
22744,3,3.9900,BOMBONIERE
22744,5,3.9900,BOMBONIERE
22744,8,3.9900,BOMBONIERE
22744,9,3.9900,BOMBONIERE
26087,1,1.1900,"FARINHAS DE TRIGO / SOJA / MILHO"
26087,2,1.1900,"FARINHAS DE TRIGO / SOJA / MILHO"
26087,3,1.1900,"FARINHAS DE TRIGO / SOJA / MILHO"
26087,5,1.1900,"FARINHAS DE TRIGO / SOJA / MILHO"
26087,8,1.1900,"FARINHAS DE TRIGO / SOJA / MILHO"
26087,9,1.1900,"FARINHAS DE TRIGO / SOJA / MILHO"
26511,1,1.2900,"FARINHAS DE TRIGO / SOJA / MILHO"
26511,2,1.2900,"FARINHAS DE TRIGO / SOJA / MILHO"
26511,3,1.2900,"FARINHAS DE TRIGO / SOJA / MILHO"
26511,5,1.2900,"FARINHAS DE TRIGO / SOJA / MILHO"
26511,8,1.2900,"FARINHAS DE TRIGO / SOJA / MILHO"
26511,9,1.2900,"FARINHAS DE TRIGO / SOJA / MILHO"
28578,1,0.8900,FRIOS
28578,2,0.8900,FRIOS
28578,3,0.8900,FRIOS
28578,5,0.8900,FRIOS
28578,8,0.8900,FRIOS
28578,9,0.8900,FRIOS
29306,1,4.6900,"BISCOITOS / BOLACHAS"
29306,2,4.6900,"BISCOITOS / BOLACHAS"
29306,3,4.6900,"BISCOITOS / BOLACHAS"
29306,5,4.6900,"BISCOITOS / BOLACHAS"
29306,8,4.4900,"BISCOITOS / BOLACHAS"
29306,9,4.6900,"BISCOITOS / BOLACHAS"
29337,1,1.2900,BEBIDAS
29337,2,1.2900,BEBIDAS
29337,3,1.2900,BEBIDAS
29337,5,1.2900,BEBIDAS
29337,8,1.2900,BEBIDAS
29337,9,1.2900,BEBIDAS
31636,1,1.9900,"BISCOITOS / BOLACHAS"
31636,2,1.9900,"BISCOITOS / BOLACHAS"
31636,3,1.9900,"BISCOITOS / BOLACHAS"
31636,5,1.9900,"BISCOITOS / BOLACHAS"
31636,8,1.9900,"BISCOITOS / BOLACHAS"
31636,9,1.9900,"BISCOITOS / BOLACHAS"
32335,1,1.4900,"BISCOITOS / BOLACHAS"
32335,2,1.4900,"BISCOITOS / BOLACHAS"
32335,3,1.4900,"BISCOITOS / BOLACHAS"
32335,5,1.4900,"BISCOITOS / BOLACHAS"
32335,8,1.4900,"BISCOITOS / BOLACHAS"
32335,9,1.4900,"BISCOITOS / BOLACHAS"
32724,1,2.1900,"ACHOCOLATADOS / LEITES"
32724,2,2.1900,"ACHOCOLATADOS / LEITES"
32724,3,2.1900,"ACHOCOLATADOS / LEITES"
32724,5,2.1900,"ACHOCOLATADOS / LEITES"
32724,8,2.1900,"ACHOCOLATADOS / LEITES"
32724,9,2.1900,"ACHOCOLATADOS / LEITES"
33487,1,0.9700,BEBIDAS
33487,2,0.9700,BEBIDAS
33487,3,0.9700,BEBIDAS
33487,5,0.9700,BEBIDAS
33487,8,0.9700,BEBIDAS
33487,9,0.9700,BEBIDAS
34064,1,2.9900,BEBIDAS
34064,2,2.9900,BEBIDAS
34064,3,2.9900,BEBIDAS
34064,5,2.9900,BEBIDAS
34064,8,2.9900,BEBIDAS
34064,9,2.9900,BEBIDAS
35299,1,3.7900,"BISCOITOS / BOLACHAS"
35299,2,3.7900,"BISCOITOS / BOLACHAS"
35299,3,3.7900,"BISCOITOS / BOLACHAS"
35299,5,3.7900,"BISCOITOS / BOLACHAS"
35299,8,3.7900,"BISCOITOS / BOLACHAS"
35299,9,3.7900,"BISCOITOS / BOLACHAS"
35533,1,2.9900,MASSAS
35533,2,2.9900,MASSAS
35533,3,2.9900,MASSAS
35533,5,2.9900,MASSAS
35533,8,2.9900,MASSAS
35533,9,2.9900,MASSAS
37422,1,5.9900,BOMBONIERE
37422,2,5.9900,BOMBONIERE
37422,3,5.9900,BOMBONIERE
