codigo,qtd30
1072,38
1216,8971
1320,854
1373,1866
1374,7071
1418,6596
1443,8093
1444,3202
2963,560
10327,20
10383,177
10384,1527
11129,6
11575,3
11578,12
11585,2
11586,10
11598,40
11602,62
11607,36
11608,40
11609,29
11616,17
11618,20
11619,14
11757,2
12014,6
12098,38
12149,53
12669,2
13121,4
13331,103
13332,171
13451,29
13489,80
13529,1
13530,1
13675,402
13677,451
13679,630
13920,3
14109,3
14111,3
14205,24
14207,1433
14941,8301
14990,172
15094,6
15095,13
16315,158
16316,62
16317,45
16645,19
16673,11
16706,1336
16760,16
16925,3
16928,11
16967,5
16968,7
16969,2
16971,3
16973,14
16974,2
17007,2
17021,2
17167,10
17168,8
17235,61
17351,6
17492,38
17528,11
17540,41
17845,3
18546,676
18647,9
19287,5
19383,60
19416,58
19417,34
19500,68
20114,316
20116,204
20117,290
20141,8
20452,8
20560,29
20749,125
20818,16
21856,38
22288,13
22369,159
22484,64
22599,48
22600,23
22601,8
22602,17
22606,14
22609,11
22612,2
22966,1
23283,23
24340,1
24537,17
24538,10
24539,18
24540,12
24541,4
24542,17
24544,8
24546,8
24547,9
24548,8
24549,2
24550,3
25080,3
25084,7
25085,42
25091,7
25325,6
25348,1
25830,154
25835,3
26030,60
26032,97
26039,1
26138,1
26344,4046
26349,7
27846,1
27921,57
27923,31
28002,479
28003,189
28004,238
28101,239
28359,90
28360,268
28673,1
28674,6
28720,2
29581,3
29582,13
29583,12
29584,6
29586,30
29629,175
29742,1
30496,277
30594,13
30595,12
30596,17
30724,21
30774,33
30775,2
30785,793
30786,892
30789,911
30791,2508
30792,1182
30793,428
30906,498
30908,33
31159,33
31160,8
31161,2
31162,8
31163,25
31214,2405
31289,211
31291,95
31638,1977
31802,10
31803,24
31823,23
31865,1202
31866,4905
31867,890
31868,1563
31938,89
31939,24
32030,1
32034,851
32035,1200
32042,361
32209,191
32235,943
32236,709
32237,1507
32238,2127
32284,1
32514,2
32671,6
32986,545
32987,542
33012,1
33014,7
33018,431
33108,7
33120,1359
33186,920
33187,1596
33188,771
33189,1798
33190,745
33197,1645
33210,106
33315,658
33379,485
33380,623
33481,1173
33487,274
33488,645
33489,773
33490,1367
33794,16
33923,13
33956,67
33957,19
33959,3161
34147,5
34149,16
34313,22
34321,80
34423,38
34451,1
34499,358
34513,9
34622,45
34623,65
34624,54
34625,123
34626,94
34627,99
34667,40
34795,313
35276,3
